Handle,Title,Body(HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
Val-Pak Products V38-146,V38-146 - Val-Pak FNS Plus Tank Clamp Nut,,Val-Pak Products,Filters,"filter,american products,part",True,OEM,N/A,,,,,VAL_V38-146,,shopify,10,deny,manual,9.99,,True,,811636022843,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-146.jpg,Val-Pak Products V38-146,,,,,,V38-146 - Val-Pak FNS Plus Tank Clamp Nut,V38-146 - Val-Pak FNS Plus Tank Clamp Nut         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V38-143,V38-143 - Val-Pak Ultra Flow Trap Gasket - 39501200,,Val-Pak Products,Filters,"pump,ultra flow,part",True,OEM,39501200,,,,,VAL_V38-143,,shopify,10,deny,manual,9.99,,True,,811636022812,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-143.jpg,Val-Pak Products V38-143,,,,,,V38-143 - Val-Pak Ultra Flow Trap Gasket - 39501200,V38-143 - Val-Pak Ultra Flow Trap Gasket - 39501200         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V38-139,V38-139 - Val-Pak Ultra Flow Pump Base,,Val-Pak Products,Filters,"pump,ultra flow,part",True,OEM,N/A,,,,,VAL_V38-139,,shopify,10,deny,manual,9.99,,True,,811636022782,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-139.jpg,Val-Pak Products V38-139,,,,,,V38-139 - Val-Pak Ultra Flow Pump Base,V38-139 - Val-Pak Ultra Flow Pump Base         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V20-392,"V20-392 - Val-Pak American Products Return Fitting (Black, 1"") - 540029",,Val-Pak Products,Filters,"filter,spa,american products,part",True,OEM,540029,,,,,VAL_V20-392,,shopify,10,deny,manual,9.99,,True,,811636024670,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-392.jpg,Val-Pak Products V20-392,,,,,,"V20-392 - Val-Pak American Products Return Fitting (Black, 1"") - 540029","V20-392 - Val-Pak American Products Return Fitting (Black, 1"") - 540029         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V38-166,"V38-166 - Val-Pak Ultra-Flow Pump Lid Clamp, Americana 1 & 2 (pre-94) - 39303000",,Val-Pak Products,Filters,"pump,ultra flow,part",True,OEM,39303000,,,,,VAL_V38-166,,shopify,10,deny,manual,9.99,,True,,811636022959,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-166.jpg,Val-Pak Products V38-166,,,,,,"V38-166 - Val-Pak Ultra-Flow Pump Lid Clamp, Americana 1 & 2 (pre-94) - 39303000","V38-166 - Val-Pak Ultra-Flow Pump Lid Clamp, Americana 1 & 2 (pre-94) - 39303000         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V20-380,V20-380 - Val-Pak Blank Return Fitting (Light Gray),,Val-Pak Products,Filters,"filter,spa,american products,part",True,OEM,N/A,,,,,VAL_V20-380,,shopify,10,deny,manual,9.99,,True,,811636020764,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-380.jpg,Val-Pak Products V20-380,,,,,,V20-380 - Val-Pak Blank Return Fitting (Light Gray),V20-380 - Val-Pak Blank Return Fitting (Light Gray)         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V20-388,"V20-388 - Val-Pak American Products Return Fitting (White, 1"") - 540028",,Val-Pak Products,Filters,"filter,spa,american products,part",True,OEM,540028,,,,,VAL_V20-388,,shopify,10,deny,manual,9.99,,True,,811636024649,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-388.jpg,Val-Pak Products V20-388,,,,,,"V20-388 - Val-Pak American Products Return Fitting (White, 1"") - 540028","V20-388 - Val-Pak American Products Return Fitting (White, 1"") - 540028         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V38-163,V38-163 - Val-Pak Ultra-Flow Volute Clamp - 39302800,,Val-Pak Products,Filters,"pump,ultra flow,part",True,OEM,39302800,,,,,VAL_V38-163,,shopify,10,deny,manual,9.99,,True,,811636022935,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-163.jpg,Val-Pak Products V38-163,,,,,,V38-163 - Val-Pak Ultra-Flow Volute Clamp - 39302800,V38-163 - Val-Pak Ultra-Flow Volute Clamp - 39302800         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V38-125,V38-125 - Val-Pak American Tapered Skimmer Basket - 85014500,,Val-Pak Products,Filters,"filter,skimmer,basket,american products,part",True,OEM,85014500,,,,,VAL_V38-125,,shopify,10,deny,manual,9.99,,True,,811636022638,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-125.jpg,Val-Pak Products V38-125,,,,,,V38-125 - Val-Pak American Tapered Skimmer Basket - 85014500,V38-125 - Val-Pak American Tapered Skimmer Basket - 85014500         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V38-144,"V38-144 - Val-Pak Ultra-Flow Seal Kit (Seal, Gasket & O-Rings)",,Val-Pak Products,Filters,"pump,ultra flow,part",True,OEM,N/A,,,,,VAL_V38-144,,shopify,10,deny,manual,9.99,,True,,811636022829,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-144.jpg,Val-Pak Products V38-144,,,,,,"V38-144 - Val-Pak Ultra-Flow Seal Kit (Seal, Gasket & O-Rings)","V38-144 - Val-Pak Ultra-Flow Seal Kit (Seal, Gasket & O-Rings)         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V38-100,V38-100 - Val-Pak American Thread Lock Diverter,,Val-Pak Products,Filters,"filter,skimmer,american products,part",True,OEM,N/A,,,,,VAL_V38-100,,shopify,10,deny,manual,9.99,,True,,811636022447,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-100.jpg,Val-Pak Products V38-100,,,,,,V38-100 - Val-Pak American Thread Lock Diverter,V38-100 - Val-Pak American Thread Lock Diverter         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
